,title,reviews,stars
22,Great food and service,"Went for lunch and were very well looked after by our waitress Yadira along with the other staff who all pitched in service wise (good teamwork). Food was very tasty and nicely presented. There was a comprehensive wine list, and although we only had the...More",5
23,Excellent steakhouse,"Exactly as it says on the tin.
Delicious steak, tasty accompaniments.
Generous portions.
Great quality.
Attentive service.
Totally satisfied.",4
24,Ambience is great but food is meh,The ambience is impressive as it is romantic and rustic. The staff were very friendly and accommodating. The food is quite pricey for its taste. The steak was a bit bland and served with only the sauce. All sides are charged extra which I think...More,3
25,An enjoyable meal but watch the ££££,Visited as part of a virgin experience paid for by my daughter. The main course was “just” a steak.  All of the vegetable and other side dishes came at an extra cost.  It would have been better if this could have been stated clearly when...More,3
26,Great experience great food,"Not sure what my expectations were on arrival however left after a brilliant experience overall and would highly recommend. 

The service was good and helpful it’s a lovely restaurant and our table was quiet and well distanced . Starters were really nice and steaks and...More",5
27,Below average overpriced food,"Bought as part of virgin experience. Despite 3 course meal being included. Still had to pay over £5 per side, ridiculously priced bottles of wine, and service charge, brought our free meal to £80. Steak was tough as boots, sides small.",2
28,Review,"Just recently had lunch at the London steakhouse. Beautiful restaurant and excellent service but the food was very disappointing. The steak was tough, fries over done, and the side salad was just a few leaves in a bowl coved in balsamic vinegar. Will not be...More",3
29,Treat yourself,"What a treat, great ambience, staff not forgetting the food. 
A perfect end to a perfect day, thank you 🙏",5
30,Highly recommend,Great for special occasions and a date night. The food and service were amazing and a great atmosphere,5
31,Adequate,Went as part of a Virgin Experience Day package. Menu provides tasty dishes to try though cocktails served were very small,4
32,Lovely meal and great hosts ,"We were gifted the Virgin experience for a meal and cocktails and it was a great couple of hours out. The menu had a good variety (although quite a lot of subsidies if you wanted certain foods) and the food was really delicious. 
Beers expensive...More",4
33,An evening Meal,"The staff welcome and their efficiency was excellent as were the complimentary cocktails. For the starters, the soup was watery and thin while the liver pate lacked seasoning, not helped by the fact that my wife added what she thought was olive oil but it...More",3
34,Nice place,"Wow! My dad loves steak my sister does too! I even love eggs, a lot! This is so good. It is amazing!",5
35,Fab food,Highly recommended -  food excellent I had beef Wellington and the cocktails were the best I’ve had in a long time. Spotlessly clean and the staff were lovely.,5
36,Weekday lunch visit,"We visited on Thursday lunch, externally it's not very appealing but the welcome made up for it.  Food was good, very tasty (croquette were had far to much garlic on them which I did mention), service was very good.  I didn't like my cocktail, it...More",3
37,Couple celebrating a birthday,"Had a wonderful time at the restaurant, staff were friendly and attentive, and the food was exquisite. Will definitely be coming back!",5
38,Anniversary Dinner,"Due to Covid we had to cancel this dinner twice, so on the third attempt we was successful. The help and assistance from the staff was amazing, and plenty of understanding. The welcome we received was warm and friendly. The table service excellent and attentive....More",5
39,Great Date Night,"It was all so lovely and posh - the set ""deal"" was fairly basic - but we were happy to upgrade.  Shame there were no ""sides"" includeed - as the final bill was far in excees of the original set menue - but quality of...More",4
40,Perfect soirée,"I went to London Steakhouse to celebrate my birthday and it was a good choice. Food was delicious tough very simple and the ingredients of high quality, the staff extremely professional and caring
Off course I'll come again",4
41,Love this place,"Birthday celebration meal for my wife - superb food, drink and service - have been a few times and always love this place and would always recommend!!!",5
42,Nothing special and rushed off of our table,I mean the food was average but wasn’t worth the bill. Our waiter was nice but we was handed our bill before we even asked for it and then someone brought over a card reader as if they wanted us out? Not the service you’d...More,2
43,Amazing,We went and the food and service were amazing. It was very quiet due to covid but we had the best time and will definitely be going back.,5
44,"Good food, excellent service","Good food, excellent service. Staff were friendly and attentive staff without being pushy or intrusive. Recommended.",5
45,Lovely Sunday Lunch,"As part of an experience voucher we were very pleasantly surprised.   The cocktails were delicious and a made on the day rather than in a container, good small choice.   The starters were limited but nonetheless tasty, a little more bread would have been good.   The...More",5
46,10/10,Best steak I’ve had along with all the other food it was very nice plus 10/10 for service very helpful and kind,5
47,Tasty food and good selection of wines,teak was very good (although it came out medium well when I asked for med rare- wasn't a problem as I was so hungry). Steak was very tender and flavoursome. Side dishes were great and most of all the service was very friendly!,5
48,Great steaks and friendly service,This is a restaurant partner for Virgin Red Letter days for the Steak and trip to the Shard day. I did wonder how you could get a steak in London and trip to the top of the shard for 2 with a cocktail for £49...More,5
49,Celebration,"We had a great Time with my Husband . Food was delicious  and service excellent. Cocktaile was great at the start.
Thank you .",5
50,Simply Amazing,"Took my girlfriend to the London Steakhouse for birthday celebrations and we were not disappointed - incredible food, incredible service and an all round lovely meal and experience!",5
51,Lovely evening,"Food was lovely, staff were nice nothing was too much trouble, great atmosphere, we went at lunch but had nice eveing feel.",5
52,Disappointing,"Went for lunch on a date day and we found the whole experience at the restaurant to be extremely sub-par. We felt that just because our meal was part of a voucher experience, which has still been paid for, we were treated differently to other...More",2
53,Lovely meal,Really pleasant atmosphere and great food.  It was a present from our son and we really appreciated it.,5
54,Lovely staff,"The food was gorgeous barring burnt sticky pudding. The staff made us feel very welcome though! We had a virgin experience voucher and I was quite worried how we were going to be treated due to this, but everyone was so lovely and welcoming! The...More",4
55,Excellent Service,I am writing to inform you of what I classify to be EXCELLENT service. I came to your restaurant Sunday the 4th of October it was new to me as this is not the sort of restaurant me and my partner normally go to. As...More,5
56,^_^,Went with girlfriend for birthday dinner and Had a good time. Food was nice and staff was brilliant.Thanks.,5
57,Grand day out,"Excellent food and drink. Great atmosphere and service was brilliant. 
Would visit again when in the area.",5
58,Enjoyable lunch,"We had the set lunch with upgrade (an extra £55). It was all very pleasant, my steak was a bit tough though. The service was excellent.",4
59,Partners Birthday Meal,We recently had a booking with London Steakhouse Co in the City for my partners 24th Birthday. I can honestly say the restaurant was amazing and Emily and Alex in the reservations team helped me book this meal and I cannot thank them enough for...More,5
60,Aniversary,We had late lunch in this restaurant and I can said is a nice place and we have a realy nice Italian and than later french waiter wich give us a nice service. However I not been happy as we had a voucher of a...More,3
61,Nice atmosphere and service,"The service was excellent ! The atmosphere was relaxing, cozy and enjoyable. I would come back with my partner again!",5
62,A lovely evening,"The ambience, service and meal was just lovely. Even with the Covid restrictions we both thoroughly enjoyed the evening",4
63,"Just ""OK""","We booked the all in package, 3 courses, mineral water, cocktail, bottle of wine, sides for 2 people - £131 on a Virgin voucher. I had read some not so good reviews about the rump steak so we upgraded to fillet, so spent around £165...More",3
64,Impressive!,We were really impressed by the food and service. Will not hesitate to return and recommend to others!,5
65,VIRGIN DINING EXPERIENCE,Lovely 3 course meal and cocktail with very good service and quick food from ordering to table celebrating our 1st anniversary.,5
66,Very good but wine is pricey,Its not all about the money and this was certainly such an occasion. As a venue I completely loved here  [again!] and will be back [soon] but I  feel a lil ripped with the wine list pricing.  Everything else was really great from booking through...More,4
67,A great disappointment,"Nothing memorable 
Steak chewy 
Temperature cold of restaurant 
Decor tired 
One glass is house red was extortionately priced at £15.50 
Was expecting upmarket was extremely disappointed as was expecting more Michelin for myself and guest on my birthday and made an effort to dress up...More",1
68,Great experience,We had this booked as part of an experience and it was better than expected! Definitely recommend upgrading to the vip package,5
69,Virgin experience package,Went as part of our virgin experience package and it was everything we could have hoped for :) food and service deserve top marks!,5
70,Terrible,The steak was tasteless and I asked for a particular pudding on the menu and was convinced to have what I don't like at all. Not a good experience.  A waste of money and time,1
71,Dinner at the steakhouse,"Amazing food and amazing service, finished off our day in London its a must do from us. Steak was cooked to perfection and the onion rings was to die for the restaurant is nice and romantic and the attention to detail was second to none.",5
72,Best steak I’ve ever had!,"Literally the best steak I’ve ever tasted!  So nice, and the restaurant and staff were also very lovely too. Really enjoyed our visit there, would definitely recommend and go back!",5
73,Unbeatable,"From arriving to a warm welcome, and the relaxed atmosphere, the staff were all very welcoming, and the steak, wow, was the most amazing steak I’ve had.",5
74,Not as good as the time before,"Beef Wellington not available and this I think is the best thing on the menu. Knives for the steak weren’t very sharp either. Served by 3 different waiters, one who wasn’t great at table service and communication. Disappointing visit compared to last time.",3
75,Warm ambiance,"From start to finish this restaurant proved to be a class act. We had a set menu for 2 with champagne yet were able to switch things around to suit. Our waitress was called Yadira, she couldn’t do enough for us, was knowledgeable with regard...More",5
76,Amazing,"The waiter was lovely and happy. Made our joy wonderful, along with the food being lovely and left that place very full! Would for sure come back again",5
77,Menu,"We came with voucher, so we had smaller menu but we was fine with this. When we get there starters was different than on webside. Such a shame 😕 starters looks better on web side 
Also prices for sides was higher than on menu what...More",3
78,Excellent Anniversary Date Night,"We had an excellent date night at LSH Co last night, plenty of menu choice, food and drink was fabulous and the service, even with covid restrictions and masks, was warm and friendly, plus the overall cost was very reasonable.

Would highly recommend to anyone...More",5
79,food,"service was good food made me ill was ill vomiting and  funny tummy , visited the shard after and was taken ill an hour after arriving there  from the restaurant have been ill since . It was a birthday present to my granddaughter and didnt...More",1
80,Didn't meet expectations,"Nice place and lighting, good service but food and wine was disappointing - especially for the price. Starters were okay but my partners toast was stale, the steak was on the tough side and our puddings left a lot to be desired. My lemon posset...More",3
81,"Staff great, food average ","Visited 19/9 so doing this review late. Staff were great, especially our waitress Yadira. Venue was nice. Food was average but would have expected better from Marco Peirre White restaurant. Have had better food at Harvester and TGI Fridays. Steak was tough as old boots...More",3
82,Anniversary & Birthday Celebration,"This was a present form our 35th wedding anniversary and it also coincided with my wife's birthday.
The meal was excellent, as was the service. All the staff were very friendly and made us feel very welcome.",5
83,High Praise for Genti,"To explain what happened would take too long but due to an error by Virgin Experience our meal experience could have been ruined. Thanks to the persistence and dedication to duty of the manager there, Genti, it was sorted and our meal experience was delightful....More",5
84,Great Staff,The staff were very attentive but we experienced three problems. The first was the wine. We ordered the cheapest at £29 per bottle but we were told that this was unavailable and that an alternative wine would be supplied and would be £7 cheaper. However...More,3
85,Overall disappointing pointing,"Came here as part of the virgin experience view from the shard, after a brilliant Experience at the shard this was just disappointing. Our meat wasn't rested properly so bled out on the plate, the meat was also poor quality (chewy & stringy). We had...More",3
86,Superb service,"Superb service, great ambience, and the food fantastic. A very enjoyable evening celebrating my partners 40th Birthday. The staff were impressive, and we will be returning.",5
87,Excellent!,I took my mum to London Steakhouse Co. for a 3 course meal and cocktail purchased through Virgin Experience. The food was amazing and couldn't recommend it more. Only down fall was we had to ask for extra drinks. No waiter actually came over to...More,4
88,A big let down - For the price I expected the food to be more delicious,"As a London steakhouse associated with Marco Pierre - by name or other - I expected the food to be delicious. What a let down it was. The starter did taste like something you would buy from Tesco, not something you would be served at...More",1
89,Great,"Great service! Staff were very friendly and helpful, Steak cooked to perfection! Cocktails were lovey also. Definitely recommend",5
90,Pleasant experience,"The food was delicious, the staff was friendly and polite and the restaurant is a perfect blend of fine dining and coziness.",4
91,Good food,We had a absolutely fantastic time and the food was fantastic and the service was very good even though we where very close to the new closing guidelines thanks for all your brilliant help,5
92,Stunning,"Absolutely delicious meal - wonderfully attentive staff. The main courses were particularly tasty - rump steak, beef bourguignon and fishcake - yummy.",5
93,Fabulous restaurant,We have been to this restaurant on quarter few occasions service food cleansing us 2nd to none staff a wonderful the food is wonderful we come up from Brighton 3 times a year to London and the highlight of our trip is eating in this...More,5
94,Very good,"For the buy a gift deal it was very good value for money, however for feed back, I had a soup to start and I would suggest putting some bread on the side of soup dish otherwise it 
feels rather bland and takes longer to...More",4
95,Average,"Restaurant was average, food was average. (Main course did'nt have any salad/chips/mash/veg) had to order sides which was disappointing considering the price we paid.
Service slow & vat was 20% & a further 5% added on receipt. Service charge £15.
Will not revisit.",3
96,Wonderful evening,"Delicious food, great service, lovely atmosphere! This was our second visit. Hope to go again in the near future",5
97,Steak should be better!,"Cosy, candlelit atmosphere, attentive and friendly staff. The food was tasty but the rump steak was pretty tough which was disappointing as this is a Steakhouse!",3
98,Still excellent!,"We visited here yesterday with friends we haven't seen for 36 years!!  So we had a lot to chat about and this was complemented by delicious food, wonderful cocktails, perfectly satisfactory wines/liqueurs, etc., and truly lovely staff - so welcoming and friendly... Special thanks to...More",5
99,"Overpriced, Quality Poor and Service Average",Special dinner arranged on 2/10. We felt the quality was poor [particularly the fillet steak] and two couples next to us rejected both their mains whilst we were ordering! Prices on the toppy side too [given the quality] and service was overbearing [we had our...More,2
100,Delicious food! ,"Came here for an anniversary meal as part as a virgin experience day treat, had a 3 course set meal; duck to start (in the 2nd picture) then rump steak for main course which was cooked to perfection! And served with peppercorn sauce. To finish,...More",5
101,My sons 16th.,"I went with my son for his 16th birthday. The food was outstanding  the service was second to none.  The staff were so polite and accommodating.  On bringing the dessert, the staff and manager sang happy birthday, and gave him a present too. I would...More",5
102,Good but not amazing!,"I originally  booked the table at the beginning of the month with a voucher I received but was unable to make it, they kindly moved the date on the day, starters we lovely as were the dessert, the steak was average at best which was...More",4
103,Gin Tasting,"We finally had our gin tasting experience after four postponements and it exceeded our expectations.  Our waitress, Yalida, was very friendly and helpful and led us through the tasting to make sure we enjoyed ourselves.",5
104,Tough and chewy steak overpriced ,"Ok. It wasn’t terrible, I’d have sucked it up if at a harvester but I wasn’t. We had to send the steak back twice and in the end gave up. The table opposite had the same problem. They were incredibly polite and asked for a...More",1
105,"Great service, average food",My fiancé and I came to this restaurant as a friend had bought us a voucher for a three course meal with a cocktail. Having ready the reviews we were very much looking forward to trying the food. We ordered the cocktails from a very...More,3
106,OK but somewhat underwhelming,"We ate here as part of a voucher experience we purchased before Covid kicked in.  The restaurant was very good in their flexible approach to changing the booking and no criticism there.

The event was booked as a pre-paid set menu with options to purchase...More",3
107,Didnt set the world alight,"Visited as recived a gift voucher for 50th birthday . Decided to upgrade and share a porterhouse with my wife. Starter was a very nice chicken liver pate . Asked for steak Medium Rare, served up very well done .Fillet side was like rubber. They...More",3
108,Good experience,"Visited the London Steakhouse Co. as part of visiting The Shard experience. 

The overall experience was positive. The decor and ambience was very nice - not too formal or pretentious. All the staff were friendly and helpful if we had any queries regarding the menu...More",4
109,Fantastic Service,"Lovely decor, nice lunchtime buzz - even in these times...
Food was extremely good and service was faultless",4
110,Christmas present,"This meal was originally booked for April.  Due to Covid it was cancelled and rebooked for September.  It was well worth waiting for, the staff were very pleasant and the food was brilliant.  Could not find fault with anything.",5
111,Could do better!,"We had a gift voucher and had been before, so knew what to expect. The voucher only covers the starter, a steak and dessert; you have to pay extra for sides @ £5.50 each. ( So £11 just for a small portion of fries and...More",3
112,We had a voucher with the Shard visit.,"For a top notch steak house , I don't think so it felt old and out dated ,the staff were very nice, not  the manager, i started with a cocktail, which was included, that bad water would have tastes better so weak.

Started with soup...More",1
113,Good Time,"Good visit nice friendly atmosphere, maître de, very good, very nice. Good service and meal considering the restrictions.",5
114,The right choice for celebrating 4 week anniversary,We enjoyed it immensely. Lovely decor and scrumptious food. Staff very helpful and attentive. Everything was delicious and filling,5
115,A lovely experience,Really pleasant lunch occasion. A good choice of courses on the set menu and a lovely cocktail to start. Good service throughout our visit. We really enjoyed the food and the experience.,5
116,London Steakhouse,"Excellent food and outstanding service.Our visit was at lunchtime and we couldn’t fault it.We did have to change our booking time at the last minute and the staff were really helpful.Nothing was too much trouble.
Looking forward to going again.",5
117,Late Christmas present,"Great experience, restaurant atmosphere was really good.  Food was very good each course.  The only thing that I would say is one of the steaks was a little rare and tough considering both ordered medium rare.  Apart from that it was really good",4
118,Excellent food,"All three courses were excellent, quick and very efficient friendly service.
The only slight imperfection was our fault....there wasn’t many in the restaurant as we booked for 3pm for dinner and their wasn’t much atmosphere, certainly recommend this restaurant and will return but slightly earlier...More",5
119,"Tricky times, excellently run",Well.... didn’t know what to expect is these strange times but the whole experience was exceptionally well run... they steps out in place made us feel safe but still looked after just as well as previous visits.... food was nice and service once again was...More,5
120,Sunday lunch,Would love to give 5 stars as it was fantastic but they run out of roast beef and it was only 2 o’clock!!!,4
121,Probably find better food in a pub lol.,"We used the voucher which to us to this “Fancy” steakhouse, which gave us 2 free cocktails (which were watered down and not nice), also a 3 course meals,
Salad - terrible 90% beetroot with a drizzle of watercress on top and about 6 pieces...More",1
122,Good steak restaurant for Sunday lunches,"Good restaurant for steak and meat lovers in very handy location near Petticoat Lane market. Food is high quality, if a bit unadventurous, with classic French dishes such as boeuf bourgignon, and roast poussin. Some very nice starters and desserts as well. Service good and...More",4
123,Good Experience,From the moment we arrived we we very well looked after by courteous and efficient staff who made our anniversary celebration special. The starter and main courses were excellent. The only disappointment was the desert course - I had the sticky toffee pudding which was...More,4
124,Anniversary gift,"The man who showed us to our table didn’t fully explain our food options to us.
The man who was at the door as we were leaving didn’t even raise his head in response  as I thanked him as we left.",3
125,Mrs Clark,"Was a lovely stake cooked just how we like it, how ever my husband told the waitress it was my birthday and that part was forgotten which was a real shame",4
126,A very good Virgin Experience,"We went to the Middlesex Street Steakhouse with a Virgin Experience voucher and we were very impressed, the service was excellent throughout and all the courses we had were very good. We took our time, added a couple of sides and a nice carafe of...More",5
127,Good but.........,"As a London resident I very much want to support our restaurants as much as I possibly can during this challenging time. However, when I am expected to pay £5.25 for a couple of lettuce leaves and £5.25 for a handful of poor quality fries...More",3
128,Problems with the meal,"The staff was friendly and helpfull but they messed my order up, I don’t like blood in my steak so always order a well done steak. However when I cut into my steak the blood from the steak poured all into my plate, they took...More",2
129,Top quality food and friendly staff,"Received as a gift from a friend as part of a Virgin Experience package alogn with a view from the Shard. The cocktails and 3 course meal were fantastic, lovely meal.",5
130,Excellent in every way,"Food, service, presentation all excellent. The pecan pie was exceptionally delicious! Highly recommend.",5
131,Poor,"Couldn’t cut the steak with a hacksaw.
Had the virgin experience set menu got given the menu but didn’t get told what was in the deal so had to pay high price and didn’t get nothing off the price.",2
132,Disappointing,"We visited the restaurant as part of a gifted experience. We were very disappointed about how rushed and uncomfortable we felt in the restaurant. The waitress was constantly monitoring if we had finished our meal, taking our plates away as soon as we finished the...More",2
133,Poor quality food,Considering this is a steak house we expected a decent steak however it was tough and chewy with large lump of grizzle running through it.   It was on the menu with nothing to go with it except a sauce so anything else was charged as...More,2
134,Experience night out,Shard and MPW London Steakhouse experience. Unfortunately first day of been 10pm COVID curfew but the service was great and the food was excellent,4
135,Fantastic experience.,"Exceptional restaurant, from the greeting to the waiting staff. The food was top quality and nothing too much trouble for the staff. A very upmarket restaurant.",5
136,A birthday treat - 5 course meal,I had a lovely lunch with my daughter as a birthday treat. It was a very nice location. The restaurant was very nice. Staff were very attentive and helpful. We felt safe as covid-19 guidelines followed. Service was very prompt. It was 5 courses and...More,5
137,A birthday treat,"The restaurant is well situated and easy to get to.  It is a very pleasant and inviting environment.  The staff were very welcoming and the service was timely, not intrusive and efficient.  We thoroughly enjoyed our dining experience",4
138,3 course set menu,"Service , starter & dessert were all good but the steak was something i'd imagine you get at a chain pub , steak & a pint for a tenner ! If MPW thinks that this is an acceptable standard then i shall not be visiting...More",2
139,Wonderful Staff & excellent Food,Visiting whilst Covid was on we felt very safe. We enjoyed all corses and for London was not ridiculously priced. We would definitely go again.,5
140,Excellent dining experience,"My wife and I enjoyed a superb meal and dining experience at the Steakhouse as part of a few days in London.
Staff were attentive, food was fantastic and cocktails wow",5
141,Excellent Meal & service.,We went to Marco Pierres London Steakhouse as part of a Virgin experience gift. What a lovely evening it was. From walking in to finishing our meal the service was amazing. The food was of a great standard & we will visit again.   Thank you.,5
142,Underwhelmed and a waste of money!,Bought a package via virgin Experience Days and it was a waste of money. Best part of the meal chips,1
143,London Steak House,"We was a little disappointed, we was expecting a special experience but instead we just got a trip to another restaurant. Food was okay but nothing amazing but the prices where high. I don't mind paying if the food etc is good, but if i...More",3
144,Lovely birthday treat,"Had one of the best meals in our week in london, nice friendly service, and very covid organised.would defitnatley like to visit again. Thanku",5
145,Excellent,"Had a lovely meal here, staff very attentive, nothing too much trouble. Overall a great experience. Would definitely recommend",5
146,A good steak option,"Driven to review as others recently commented at their surprise to see voucher deals do not include sides, this wasn't an issue for us as this was clearly advertised and I don't feel in any way the restaurant acted deceptively. It is common practice in...More",4
147,Great food shame about the water!,Had this bought for us in February for our anniversary along with a visit to the Shard. This is the second time of booking and we’ve eventually managed to get here from the East Midlands. The offer was a little bit limited but the food...More,4
148,Virgin experience meal and view from the Shard,Meal was pleasant but my husband chose the steak with a choice of sauce for his dinner and that was literally all that was served as his main course -not even a garnish! I do not call that a main course!!,2
149,Disappointed beyond words,"Not what I expected from Marco Pierre White, had to pay extra for chips, with steak?, had to pay £11 supplement to go from rump to sirloin which arrived with 25% of it a piece of bone. Starters not worth commenting on, so mundane, sweets...More",1
150,Wonderful food and service,Great afternoon for our anniversary wonderful food and service not rushed perfect atmosphere thank you,5
151,Superb food and service,"Can not fault the food and service but the deal we had we felt was a bit of a con (hence only 3 stars).  Ended up costing us at least £100 on top of our deal for a 3 course meal, so disappointing in that...More",3
152,Great food and service,"Lovely helpful and welcoming staff. Steaks were hot, juicy and delicious (great value for money) fries were delicious and hot although we thought that the salad we ordered as a side was not value for money.",5
153,"Good food, great service & nice cocktails",Really enjoyed our 3 course meal. Attentive staff and food was lovely. Restaurant has adapted well to the Covid changes too.,5
154,Birthday treat,"We had a lovely time steak cooked to perfection ,food was amazing staff very nice and helpful would definitely recommend, and we will be back thank you",5
155,LONDON BRIDGE STEAKHOUSE,Great experience & great food .The service was attentive without being too much and we had a really lovely day out in London even in these strange times !!,5
156,Lovely meal - especially dessert!,"My friend and I had booked lunch at London Steakhouse Co and it did not disappoint. The staff were very friendly and attentive and the food was lovely. We had a set menu, so I had the 8oz steak, whereas my friend paid the extra...More",4
157,Belated birthday treat,Had a superb evening! Food was beautifully cooked! Service was on point! Wine was nicely chilled! Yum,5
158,Had higher expectations.,"My gf and I visited and had the set menu using a Virgin experience voucher.

The duck starter and rump steak were both delicious. It was also good to see covid protective measures were being taken seriously.

We had read the small print for the...More",2
159,Outstanding on all counts!,A fantastic evening for the both of us. The food and service were outstanding. A relaxed atmosphere where everybody was mindful of the current health situation without affecting our evening. A great experience and one we highly recommend.,5
160,Meal after a visit to the Shard,"Christmas gift enjoyed 9 months later ! 
  Busy steakhouse welcomed in by I believe supervisor who seated us on an elevated area giving a view of the whole restaurant ! 
     Good selection of food and set menu for the gift was tempting inc a cocktail...More",5
161,Best stake!,"Me and my family had an amazing meal, I loved the steak, the best I’ve ever had! The staff was very friendly!",5
162,Birthday meal ,Went for my birthday and used a virgin voucher. Staff were friendly and welcoming. Made it special for my birthday and the food was really good. Thank you,5
163,Afternoon Meal,"Went to London Steakhouse as part of a Virgin Experience Including the Shard, Virgin messed up the Shard visit but got it right with the London Steakhouse.
Excellent food and Excellent service.
Bob",5
164,Great,"Lovely staff, food was great - had a fab birthday meal.
Felt very safe spaced away from other tables & hand sanitiser readily available on the table.",5
165,Great food but never again !,"As the title suggests, the food was faultless. 

Please sort out the waiting staff. We were rushed from the moment we sat down and despite me telling them on more than one occasion this carried on for the duration of the meal!.On two occasions we...More",1
166,Meal at London Steakhouse,"Staff were very friendly & helpful , I had beef bourguignon for the main which was absolutely  delicious, Best  I had ever tasted, the only downside was we had to wait just over an hour for the main  meal,After waiting past one hour,  i called...More",4
167,Very bad experience,"Service is very good and I was very pleased with the service but the steak was terrible
I paid extra for the centre cut fillet steak and it was so chewy.
Wouldn’t recommend",1
168,Birthday Celebration,We were celebrating my husband 60th Birthday for Saturday 16th September 2020 first by visiting the Shard and finish off with a great meal at the steak house. The food was excellent and the staff very friendly and very professional from the manager to all...More,5
169,The Shard Experience - False Advertisement,"My girlfriend and I did the The Shard Experience voucher which purported this establishment was situated in the shard when it is anything but. It's actually near Liverpool Street in a cellar. So that dashed our expectations to begin with. 

Following on, once we arrived...More",1
170,London Steakhouse Co.,"Excellent service, very highly recommended. Visited before going to the Shard and both were good value",5
